Team,Week,Team Points,League Average,Difference,Above/Below
Cameron,1,272.8,250.51666666666665,22.28333333333336,Above
Cameron,2,399.0,290.075,108.92500000000001,Above
Cameron,3,308.2,290.25,17.94999999999999,Above
Cameron,4,321.3,321.325,-0.024999999999977263,Below
Cameron,5,319.8,279.77500000000003,40.02499999999998,Above
Cameron,6,290.0,282.5833333333333,7.416666666666686,Above
Cameron,7,282.9,264.71666666666664,18.183333333333337,Above
Cameron,8,467.4,348.5333333333333,118.86666666666667,Above
Cameron,9,401.4,291.53333333333336,109.86666666666662,Above
Drew,1,274.7,250.51666666666665,24.183333333333337,Above
Drew,2,279.1,290.075,-10.974999999999966,Below
Drew,3,347.7,290.25,57.44999999999999,Above
Drew,4,398.4,321.325,77.07499999999999,Above
Drew,5,276.9,279.77500000000003,-2.875000000000057,Below
Drew,6,377.3,282.5833333333333,94.7166666666667,Above
Drew,7,229.5,264.71666666666664,-35.21666666666664,Below
Drew,8,412.4,348.5333333333333,63.866666666666674,Above
Drew,9,322.1,291.53333333333336,30.566666666666663,Above
Eduardo,1,182.0,250.51666666666665,-68.51666666666665,Below
Eduardo,2,258.9,290.075,-31.17500000000001,Below
Eduardo,3,213.6,290.25,-76.65,Below
Eduardo,4,283.2,321.325,-38.125,Below
Eduardo,5,316.3,279.77500000000003,36.52499999999998,Above
Eduardo,6,207.8,282.5833333333333,-74.7833333333333,Below
Eduardo,7,276.6,264.71666666666664,11.883333333333383,Above
Eduardo,8,326.4,348.5333333333333,-22.133333333333326,Below
Eduardo,9,198.1,291.53333333333336,-93.43333333333337,Below
Evan,1,256.9,250.51666666666665,6.383333333333326,Above
Evan,2,302.7,290.075,12.625,Above
Evan,3,346.2,290.25,55.94999999999999,Above
Evan,4,391.3,321.325,69.97500000000002,Above
Evan,5,360.0,279.77500000000003,80.22499999999997,Above
Evan,6,304.2,282.5833333333333,21.616666666666674,Above
Evan,7,334.4,264.71666666666664,69.68333333333334,Above
Evan,8,469.2,348.5333333333333,120.66666666666669,Above
Evan,9,321.9,291.53333333333336,30.366666666666617,Above
Jon,1,409.1,250.51666666666665,158.58333333333337,Above
Jon,2,201.1,290.075,-88.975,Below
Jon,3,289.9,290.25,-0.35000000000002274,Below
Jon,4,277.1,321.325,-44.224999999999966,Below
Jon,5,290.0,279.77500000000003,10.224999999999966,Above
Jon,6,335.7,282.5833333333333,53.116666666666674,Above
Jon,7,224.4,264.71666666666664,-40.316666666666634,Below
Jon,8,396.6,348.5333333333333,48.06666666666672,Above
Jon,9,290.9,291.53333333333336,-0.6333333333333826,Below
Layla,1,176.7,250.51666666666665,-73.81666666666666,Below
Layla,2,312.4,290.075,22.32499999999999,Above
Layla,3,259.2,290.25,-31.05000000000001,Below
Layla,4,227.8,321.325,-93.52499999999998,Below
Layla,5,262.8,279.77500000000003,-16.975000000000023,Below
Layla,6,299.2,282.5833333333333,16.616666666666674,Above
Layla,7,292.4,264.71666666666664,27.683333333333337,Above
Layla,8,309.5,348.5333333333333,-39.0333333333333,Below
Layla,9,302.8,291.53333333333336,11.266666666666652,Above
Matt,1,201.2,250.51666666666665,-49.31666666666666,Below
Matt,2,273.1,290.075,-16.974999999999966,Below
Matt,3,283.8,290.25,-6.449999999999989,Below
Matt,4,344.8,321.325,23.475000000000023,Above
Matt,5,343.7,279.77500000000003,63.924999999999955,Above
Matt,6,259.4,282.5833333333333,-23.183333333333337,Below
Matt,7,312.6,264.71666666666664,47.88333333333338,Above
Matt,8,306.6,348.5333333333333,-41.93333333333328,Below
Matt,9,303.7,291.53333333333336,12.166666666666629,Above
Micah,1,214.5,250.51666666666665,-36.01666666666665,Below
Micah,2,250.4,290.075,-39.67499999999998,Below
Micah,3,296.1,290.25,5.850000000000023,Above
Micah,4,287.2,321.325,-34.125,Below
Micah,5,226.1,279.77500000000003,-53.67500000000004,Below
Micah,6,177.6,282.5833333333333,-104.98333333333332,Below
Micah,7,166.1,264.71666666666664,-98.61666666666665,Below
Micah,8,340.6,348.5333333333333,-7.93333333333328,Below
Micah,9,273.6,291.53333333333336,-17.933333333333337,Below
Nick,1,248.9,250.51666666666665,-1.6166666666666458,Below
Nick,2,233.0,290.075,-57.07499999999999,Below
Nick,3,269.6,290.25,-20.649999999999977,Below
Nick,4,316.1,321.325,-5.224999999999966,Below
Nick,5,188.7,279.77500000000003,-91.07500000000005,Below
Nick,6,253.7,282.5833333333333,-28.883333333333326,Below
Nick,7,195.9,264.71666666666664,-68.81666666666663,Below
Nick,8,250.9,348.5333333333333,-97.6333333333333,Below
Nick,9,297.0,291.53333333333336,5.46666666666664,Above
Phil,1,178.4,250.51666666666665,-72.11666666666665,Below
Phil,2,158.6,290.075,-131.475,Below
Phil,3,295.4,290.25,5.149999999999977,Above
Phil,4,293.7,321.325,-27.625,Below
Phil,5,192.6,279.77500000000003,-87.17500000000004,Below
Phil,6,249.7,282.5833333333333,-32.883333333333326,Below
Phil,7,190.2,264.71666666666664,-74.51666666666665,Below
Phil,8,183.8,348.5333333333333,-164.7333333333333,Below
Phil,9,202.0,291.53333333333336,-89.53333333333336,Below
Scott,1,331.6,250.51666666666665,81.08333333333337,Above
Scott,2,391.7,290.075,101.625,Above
Scott,3,305.7,290.25,15.449999999999989,Above
Scott,4,341.5,321.325,20.17500000000001,Above
Scott,5,225.6,279.77500000000003,-54.17500000000004,Below
Scott,6,305.2,282.5833333333333,22.616666666666674,Above
Scott,7,340.0,264.71666666666664,75.28333333333336,Above
Scott,8,436.7,348.5333333333333,88.16666666666669,Above
Scott,9,339.4,291.53333333333336,47.86666666666662,Above
Trevor,1,259.4,250.51666666666665,8.883333333333326,Above
Trevor,2,420.9,290.075,130.825,Above
Trevor,3,267.6,290.25,-22.649999999999977,Below
